angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.1,"[494, 246, 264, 336]",0.0,0.41,0.1,0.15,0.05,0.18
0.05,"[492, 250, 263, 328]",0.0,0.4,0.19,0.13,0.04,0.19
0.01,"[491, 242, 275, 339]",0.0,0.22,0.1,0.3,0.04,0.32
0.02,"[493, 260, 264, 317]",0.0,0.08,0.06,0.15,0.03,0.65
0.01,"[496, 264, 259, 311]",0.0,0.08,0.09,0.13,0.03,0.66
0.01,"[507, 269, 249, 298]",0.0,0.07,0.01,0.18,0.02,0.71
0.01,"[506, 274, 250, 297]",0.0,0.09,0.03,0.07,0.02,0.77
0.02,"[504, 275, 253, 301]",0.0,0.08,0.04,0.14,0.03,0.69
0.04,"[509, 289, 249, 295]",0.0,0.28,0.11,0.29,0.1,0.17
0.08,"[494, 264, 272, 331]",0.0,0.19,0.03,0.17,0.03,0.5
0.07,"[497, 271, 268, 322]",0.0,0.27,0.02,0.28,0.03,0.32
0.02,"[506, 289, 243, 308]",0.0,0.52,0.14,0.07,0.01,0.24
0.05,"[489, 282, 265, 314]",0.0,0.51,0.06,0.2,0.03,0.14
0.09,"[483, 272, 266, 322]",0.0,0.63,0.03,0.05,0.03,0.18
0.13,"[485, 281, 267, 317]",0.0,0.45,0.06,0.15,0.05,0.15
0.06,"[496, 286, 258, 307]",0.0,0.5,0.02,0.1,0.04,0.29
0.09,"[484, 276, 261, 316]",0.0,0.44,0.02,0.11,0.06,0.28
0.06,"[485, 278, 261, 315]",0.0,0.39,0.05,0.06,0.02,0.41
0.03,"[484, 281, 263, 311]",0.0,0.57,0.01,0.05,0.03,0.31
0.04,"[486, 275, 260, 315]",0.0,0.5,0.01,0.08,0.03,0.33
0.02,"[489, 274, 258, 313]",0.0,0.23,0.0,0.03,0.01,0.71
0.01,"[493, 276, 258, 307]",0.0,0.52,0.01,0.03,0.01,0.42
0.02,"[495, 275, 257, 305]",0.0,0.46,0.07,0.05,0.03,0.37
0.01,"[493, 270, 259, 311]",0.0,0.4,0.16,0.06,0.01,0.35
0.03,"[503, 282, 252, 299]",0.0,0.32,0.03,0.04,0.02,0.56
0.03,"[502, 262, 262, 312]",0.0,0.22,0.1,0.04,0.01,0.61
0.05,"[506, 264, 262, 314]",0.0,0.37,0.04,0.07,0.01,0.46
0.09,"[517, 267, 260, 311]",0.0,0.22,0.02,0.04,0.01,0.62
0.01,"[517, 238, 263, 328]",0.0,0.22,0.0,0.01,0.01,0.75
0.02,"[520, 238, 262, 324]",0.0,0.14,0.01,0.02,0.0,0.81
0.01,"[526, 237, 261, 321]",0.0,0.27,0.01,0.05,0.0,0.65
0.03,"[528, 231, 265, 327]",0.0,0.32,0.01,0.03,0.01,0.61
0.02,"[527, 225, 270, 334]",0.0,0.27,0.01,0.13,0.01,0.56
0.02,"[530, 223, 271, 331]",0.0,0.22,0.03,0.07,0.01,0.65
0.04,"[534, 216, 270, 339]",0.0,0.25,0.08,0.21,0.02,0.41
0.02,"[537, 224, 261, 324]",0.0,0.2,0.03,0.06,0.01,0.69
0.01,"[541, 229, 257, 319]",0.0,0.19,0.03,0.05,0.0,0.72
0.01,"[540, 229, 257, 317]",0.0,0.31,0.0,0.03,0.0,0.65
0.02,"[535, 235, 262, 318]",0.0,0.63,0.03,0.06,0.01,0.26
0.01,"[538, 236, 257, 313]",0.0,0.56,0.05,0.11,0.01,0.26
0.02,"[535, 231, 261, 317]",0.0,0.51,0.03,0.11,0.01,0.33
0.02,"[538, 239, 254, 304]",0.0,0.6,0.05,0.09,0.01,0.23
0.03,"[531, 222, 261, 319]",0.0,0.36,0.06,0.13,0.01,0.42
0.04,"[532, 227, 260, 317]",0.0,0.39,0.03,0.12,0.02,0.4
0.05,"[533, 228, 255, 316]",0.0,0.39,0.03,0.13,0.01,0.39
0.05,"[527, 231, 259, 315]",0.0,0.4,0.04,0.25,0.03,0.23
0.04,"[530, 232, 255, 307]",0.0,0.15,0.13,0.34,0.02,0.31
0.04,"[527, 227, 257, 311]",0.0,0.29,0.04,0.46,0.02,0.14
0.05,"[527, 234, 254, 303]",0.0,0.19,0.03,0.55,0.03,0.15
0.1,"[522, 231, 258, 312]",0.0,0.16,0.06,0.59,0.06,0.04
0.08,"[525, 235, 254, 305]",0.0,0.23,0.1,0.36,0.03,0.2
0.06,"[526, 235, 253, 305]",0.0,0.16,0.14,0.45,0.03,0.15
0.05,"[526, 238, 253, 302]",0.0,0.11,0.08,0.66,0.04,0.05
0.03,"[525, 237, 254, 304]",0.0,0.09,0.11,0.71,0.02,0.03
0.05,"[524, 235, 253, 304]",0.0,0.16,0.07,0.57,0.02,0.13
0.06,"[523, 233, 255, 306]",0.0,0.17,0.1,0.45,0.02,0.2
0.04,"[527, 233, 254, 305]",0.0,0.16,0.19,0.4,0.01,0.19
0.01,"[524, 236, 253, 306]",0.0,0.35,0.08,0.44,0.01,0.11
0.03,"[526, 240, 251, 301]",0.0,0.2,0.08,0.58,0.01,0.1
0.04,"[528, 234, 253, 305]",0.0,0.3,0.14,0.23,0.02,0.27
0.02,"[529, 233, 252, 306]",0.0,0.25,0.17,0.27,0.01,0.28
0.02,"[532, 236, 248, 302]",0.0,0.27,0.19,0.13,0.01,0.38
0.03,"[530, 235, 252, 303]",0.0,0.21,0.19,0.29,0.01,0.27
0.02,"[533, 224, 254, 314]",0.0,0.11,0.27,0.32,0.0,0.28
0.02,"[531, 225, 256, 314]",0.0,0.15,0.26,0.44,0.01,0.12
0.02,"[531, 227, 254, 313]",0.0,0.08,0.43,0.35,0.01,0.11
0.01,"[533, 235, 250, 301]",0.0,0.1,0.33,0.43,0.01,0.12
0.02,"[532, 234, 252, 306]",0.0,0.11,0.26,0.47,0.01,0.13
0.01,"[529, 226, 256, 315]",0.0,0.07,0.38,0.49,0.01,0.05
0.01,"[542, 241, 245, 297]",0.0,0.08,0.24,0.63,0.0,0.03
0.01,"[543, 240, 245, 297]",0.0,0.07,0.16,0.72,0.0,0.04
0.01,"[539, 241, 248, 300]",0.0,0.06,0.24,0.66,0.0,0.02
0.01,"[541, 247, 246, 292]",0.0,0.05,0.33,0.58,0.01,0.02
0.01,"[530, 228, 258, 314]",0.0,0.03,0.14,0.81,0.01,0.01
0.01,"[545, 241, 243, 296]",0.0,0.11,0.4,0.44,0.0,0.04
0.02,"[531, 229, 258, 315]",0.0,0.09,0.35,0.5,0.01,0.03
0.01,"[542, 246, 243, 292]",0.0,0.04,0.49,0.42,0.0,0.03
0.01,"[543, 247, 245, 291]",0.0,0.13,0.33,0.48,0.01,0.04
0.01,"[539, 244, 246, 295]",0.0,0.05,0.47,0.45,0.0,0.02
0.01,"[537, 235, 249, 301]",0.0,0.05,0.45,0.45,0.0,0.04
0.01,"[527, 231, 259, 315]",0.0,0.02,0.15,0.8,0.01,0.01
0.01,"[543, 245, 243, 293]",0.0,0.09,0.39,0.46,0.01,0.04
0.01,"[543, 246, 242, 292]",0.0,0.09,0.43,0.44,0.0,0.03
0.01,"[541, 246, 246, 292]",0.0,0.1,0.47,0.4,0.0,0.03
0.01,"[536, 247, 247, 293]",0.0,0.11,0.34,0.5,0.01,0.04
0.01,"[554, 259, 229, 273]",0.0,0.02,0.62,0.31,0.0,0.03
0.02,"[538, 248, 245, 292]",0.0,0.02,0.38,0.57,0.0,0.01
0.02,"[540, 253, 242, 287]",0.0,0.06,0.41,0.48,0.0,0.03
0.01,"[540, 249, 243, 290]",0.0,0.02,0.58,0.37,0.0,0.01
0.04,"[536, 246, 249, 309]",0.0,0.36,0.02,0.24,0.03,0.31
0.02,"[536, 242, 250, 313]",0.0,0.38,0.02,0.13,0.02,0.43
0.04,"[540, 251, 244, 305]",0.01,0.22,0.05,0.16,0.02,0.49
0.05,"[538, 251, 244, 304]",0.0,0.25,0.08,0.31,0.02,0.28
0.03,"[537, 251, 246, 306]",0.01,0.32,0.06,0.17,0.03,0.38
0.05,"[535, 249, 248, 308]",0.0,0.29,0.06,0.17,0.02,0.41
0.05,"[538, 254, 246, 301]",0.0,0.24,0.02,0.15,0.03,0.5
0.07,"[536, 250, 248, 305]",0.0,0.22,0.05,0.2,0.01,0.46
0.02,"[535, 250, 248, 306]",0.0,0.32,0.02,0.13,0.01,0.49
0.09,"[535, 249, 249, 306]",0.0,0.24,0.03,0.29,0.02,0.33
0.03,"[536, 251, 247, 305]",0.0,0.23,0.03,0.23,0.01,0.47
0.02,"[535, 251, 247, 306]",0.0,0.31,0.02,0.17,0.01,0.47
0.05,"[535, 248, 248, 308]",0.0,0.36,0.02,0.16,0.01,0.4
0.08,"[535, 249, 248, 306]",0.0,0.26,0.01,0.15,0.01,0.49
0.03,"[535, 252, 246, 303]",0.0,0.21,0.02,0.16,0.01,0.58
0.03,"[534, 250, 248, 306]",0.0,0.31,0.01,0.09,0.01,0.57
0.02,"[537, 251, 245, 304]",0.0,0.21,0.01,0.04,0.0,0.72
0.03,"[536, 253, 246, 304]",0.0,0.3,0.04,0.11,0.02,0.5
0.04,"[537, 255, 245, 301]",0.0,0.29,0.04,0.13,0.02,0.48
0.06,"[534, 254, 245, 306]",0.01,0.19,0.01,0.12,0.02,0.59
0.04,"[536, 254, 246, 305]",0.0,0.31,0.02,0.09,0.02,0.51
0.05,"[534, 253, 246, 305]",0.0,0.2,0.04,0.07,0.01,0.63
0.05,"[536, 253, 245, 304]",0.0,0.37,0.04,0.12,0.02,0.4
0.09,"[534, 250, 246, 305]",0.0,0.28,0.01,0.08,0.01,0.54
0.07,"[529, 245, 252, 315]",0.0,0.37,0.04,0.19,0.03,0.3
0.02,"[529, 240, 256, 320]",0.0,0.38,0.0,0.04,0.01,0.55
0.05,"[531, 252, 249, 306]",0.0,0.31,0.03,0.13,0.02,0.45
0.03,"[529, 248, 250, 308]",0.0,0.34,0.01,0.07,0.01,0.54
0.05,"[532, 250, 248, 308]",0.0,0.35,0.03,0.19,0.02,0.35
0.03,"[533, 253, 245, 303]",0.0,0.36,0.03,0.1,0.02,0.47
0.05,"[531, 252, 248, 308]",0.01,0.32,0.01,0.09,0.03,0.51
0.04,"[532, 252, 247, 306]",0.0,0.33,0.01,0.06,0.01,0.54
0.05,"[532, 252, 247, 307]",0.0,0.34,0.01,0.04,0.02,0.53
0.02,"[530, 251, 248, 308]",0.0,0.32,0.01,0.03,0.01,0.61
0.03,"[525, 232, 262, 328]",0.0,0.52,0.0,0.06,0.02,0.37
0.02,"[530, 243, 254, 316]",0.0,0.52,0.0,0.04,0.01,0.4
0.07,"[529, 245, 253, 316]",0.0,0.42,0.02,0.05,0.01,0.42
0.05,"[528, 247, 253, 314]",0.0,0.41,0.01,0.11,0.02,0.4
